memberid,schemeid,levelid,sec_type,sec_parameter,created,updated,group_sec_parameter
14238,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:07:15.298246Z,2023-11-14T11:07:15.298246Z,Active-People
14769,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:00:21.762248Z,2023-11-14T12:00:21.762248Z,Active-People
13038,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:13:02.317028Z,2023-11-14T10:13:02.317028Z,Active-People
15549,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T13:02:15.770478Z,2023-11-14T13:02:15.770478Z,Active-People
12219,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:42:38.764906Z,2023-11-14T09:42:38.764906Z,Active-People
15258,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:37:39.976522Z,2023-11-14T12:37:39.976522Z,Active-People
10667,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:43:06.091517Z,2023-11-14T08:43:06.091517Z,Active-People
12822,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:04:35.456897Z,2023-11-14T10:04:35.456897Z,Active-People
13848,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:43:09.342723Z,2023-11-14T10:43:09.342723Z,Active-People
14778,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:01:02.093799Z,2023-11-14T12:01:02.093799Z,Active-People
13551,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:31:14.03667Z,2023-11-14T10:31:14.03667Z,Active-People
14247,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:08:53.373395Z,2023-11-14T11:08:53.373395Z,Active-People
13326,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:22:30.013789Z,2023-11-14T10:22:30.013789Z,Active-People
12876,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:07:10.474074Z,2023-11-14T10:07:10.474074Z,Active-People
10424,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:32:03.734799Z,2023-11-14T08:32:03.734799Z,Active-People
11964,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:34:35.847867Z,2023-11-14T09:34:35.847867Z,Active-People
11445,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:12:38.425688Z,2023-11-14T09:12:38.425688Z,Active-People
14787,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:01:47.160151Z,2023-11-14T12:01:47.160151Z,Active-People
12705,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:00:47.303262Z,2023-11-14T10:00:47.303262Z,Active-People
10775,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:47:14.485682Z,2023-11-14T08:47:14.485682Z,Active-People
12228,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:42:46.353062Z,2023-11-14T09:42:46.353062Z,Active-People
10110,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:19:15.791268Z,2023-11-14T08:19:15.791268Z,Active-People
14256,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:11:17.968927Z,2023-11-14T11:11:17.968927Z,Active-People
13857,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:43:18.289496Z,2023-11-14T10:43:18.289496Z,Active-People
12948,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:09:35.977389Z,2023-11-14T10:09:35.977389Z,Active-People
14796,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:01:58.688795Z,2023-11-14T12:01:58.688795Z,Active-People
